Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Mauritania,U.S. dollars,Units,673.361,641.849,634.588,711.709,796.923,963.498,"1,357.43","1,425.47","1,647.29","1,475.59","1,715.92","2,012.83","1,946.08","2,072.49","1,826.78","1,668.07",2014
Mauritius,U.S. dollars,Units,"4,157.83","4,081.16","4,252.93","5,072.81","5,701.75","5,590.47","5,772.67","6,663.19","8,138.17","7,416.66","8,108.10","9,320.87","9,416.34","9,766.77","10,366.36","9,508.00",2021
Mexico,U.S. dollars,Units,"7,511.86","7,952.17","7,987.33","7,440.44","7,858.83","8,683.42","9,521.36","10,137.08","10,520.80","8,416.38","9,718.13","10,653.04","10,733.34","11,206.35","11,376.93","9,998.49",2020
Micronesia,U.S. dollars,Units,"2,179.42","2,257.32","2,277.95","2,312.43","2,269.68","2,371.09","2,414.39","2,457.99","2,531.99","2,711.06","2,887.35","3,021.69","3,170.96","3,068.37","3,082.90","3,050.72",2018
Moldova,U.S. dollars,Units,448.062,505.784,569.109,680.272,894.061,"1,031.42","1,179.32","1,526.38","2,102.94","1,890.65","2,428.11","2,930.06","3,031.13","3,307.35","3,314.55","2,715.78",2019
Mongolia,U.S. dollars,Units,473.198,521.317,566.403,639.373,789.958,989.177,"1,321.61","1,616.14","2,109.27","1,687.55","2,602.37","3,702.36","4,281.33","4,293.83","4,081.02","3,800.11",2021
Montenegro,U.S. dollars,Units,"1,596.63","1,893.72","2,081.05","2,745.76","3,379.64","3,679.83","4,429.80","5,984.45","7,396.67","6,746.38","6,694.17","7,327.26","6,590.58","7,189.05","7,389.89","6,517.42",2021
Morocco,U.S. dollars,Units,"1,486.88","1,489.70","1,573.48","1,914.01","2,163.48","2,232.94","2,427.11","2,759.52","3,189.20","3,162.86","3,134.70","3,367.35","3,224.71","3,463.60","3,527.71","3,235.57",2022
Mozambique,U.S. dollars,Units,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,2015
Myanmar,U.S. dollars,Units,159.287,145.105,139.436,177.444,213.4,239.129,266.297,347.813,492.977,593.446,727.194,"1,015.56","1,104.64","1,175.91","1,244.18","1,223.74",2015
